URL,Cleaned up
https://apps.shopify.com/built-in-features/payments,"Payments  
Let customers pay using their preferred method with Shopify’s integrated payment support.

Features:  
- Offer payment options customers recognize and trust. Easily activate a range of credit card providers and alternative payment methods such as PayPal, Apple Pay, and more.  
- Sell seamlessly in different regions with local payment methods. Accept payment options catering to international customers, including cash on delivery, buy now pay later, and bank transfers.  
- Process payments securely. Transmit and collect payment data securely to protect both merchants and customers.  
- Customize the payment experience at checkout by using apps to tailor the order of payment methods or add custom messaging.

Additional Resources:  
- Explore payment apps  
- Learn more about choosing payment providers  
- Available payment providers by region  

Shopify App Categories:  
- Sales channels  
- Finding products  
- Selling products  
- Orders and shipping  
- Store design  
- Marketing and conversion  
- Store management  

Top Categories:  
- Dropshipping  
- Marketplaces  
- Product reviews  
- Upsell and bundles  
- Email marketing  
- SEO  
- Shipping  
- Currency and translation  

Resources:  
- Shopify Help Center  
- API documentation  
- Shopify Community  
- Community Events  
- Shopify Blog  

Company Information:  
- About Shopify  
- Careers  
- Investors  
- Press and media  
- Partners  
- Affiliates  

Legal and Support:  
- Terms of service  
- Privacy policy  
- Service status  
- Developer login  

Languages Supported:  
Čeština, Dansk, Deutsch, English, Español, Français, Italiano, Nederlands, Norsk (bokmål), Polski, Português (Brasil), Português (Portugal), Suomi, Svenska, Türkçe, ภาษาไทย, 日本語, 简体中文, 繁體中文, 한국어  

Log in to your Shopify store or sign up if you don’t have a store yet."
https://apps.shopify.com/built-in-features/b2b,"B2B - Grow your wholesale and direct-to-consumer businesses all in one place - Shopify App Store

B2B (Included with Shopify Plus)  
Grow your wholesale and direct-to-consumer businesses all in one place.

How it works:  
- Set up and manage company profiles directly from your Shopify admin.  
- Set up multiple buyers and locations with unique permission levels, payment terms, tax exemptions, and payment methods.

Customized buying experiences:  
- Personalize your storefront and checkout for each customer with customer-specific catalogs, quantity rules, and pricing.

Optimized workflows:  
- Streamline operations with tools for customer account requests, staff permissions, and PO numbers.

Self-serve purchasing for hands-off account management:  
- Customers can easily make bulk purchases, repeat orders, pay invoices, and manage their account information.

What’s included: Wholesale features  
- Your Shopify Plus plan provides all necessary tools to run your wholesale business on Shopify, including company profile and account management, assigning catalogs with wholesale pricing, and creating a customized B2B storefront.  
- Wholesale apps may offer additional options for pricing and order management.

Wholesale Features Supported:  
- Pricing options  
- Customer groups  
- Custom pricing  
- Discount codes  
- Tiered pricing  
- Volume discounts  
- Price locking  
- Pricing import  
- Pre-orders  
- Net terms  
- Payment methods  
- Multi-currency  
- Signup form  
- Wholesale login  
- Customer tagging  

Order Management Supported:  
- Order management  
- Order form  
- Manual orders  
- Draft orders  
- Order minimums  
- Order limits  
- Product visibility  
- Shipping options  
- Order status  
- Multi-currency  
- API access  
- Inventory sync  
- Inventory status  

Order Management Not Supported:  
- Bulk processing  
- Tax exemptions  

Import and export capabilities:  
- Do more with Shopify tools.

Additional B2B Features:  
- Add a company to offer a custom experience: Assign custom pricing, net payment terms, and permissions to a set of locations and buyers.  
- Customize B2B buying with catalogs: Set buyer-specific product availability and prices to tailor the wholesale buying experience.

B2B selling on Shopify Plus:  
- Boost your B2B business using a variety of apps available in categories including sales channels, finding products, selling products, orders and shipping, store design, marketing and conversion, and store management.

Top app categories:  
- Dropshipping  
- Marketplaces  
- Product reviews  
- Upsell and bundles  
- Email marketing  
- SEO  
- Shipping  
- Currency and translation  

Resources:  
- Shopify Help Center  
- API documentation  
- Shopify Community  
- Community Events  
- Shopify Blog  

About Shopify:  
- Careers  
- Investors  
- Press and media  
- Partners  
- Affiliates  

Legal and support:  
- Service status  
- Developer login  
- Terms of service  
- Privacy policy  
- Sitemap  

Language options (examples):  
- English, Deutsch, Français, Español, Italiano, Nederlands, Português, 日本語, 简体中文, 한국어, and more.

Shopify store login:  
- Log in to your Shopify store with your Store URL.  
- Don’t have a store yet? Sign up.  
- Developer login available."
https://apps.shopify.com/built-in-features/product-variants,"Product Variants – Add variants for products with multiple options through your Shopify admin

How it works

Easy setup and management  
Create and manage product variants directly from your Shopify admin, offering options like size, color, and material. Create up to 100 variants per product.

Enhanced shopping experience  
Help customers make informed decisions by displaying available variants on the product page, allowing for easy browsing.

Tailored options to fit your offerings  
Customize product variants with unique pricing, images, and inventory levels.

Streamlined inventory management  
Track stock levels and manage inventory for each variant to make data-driven decisions that optimize your product range.

What’s in the box

Product variant features  
Your Shopify plan includes everything needed to create up to 100 variants for each product. Product variant apps may offer additional features for customization, pricing, and inventory management.

Product Variant Features

Customization  
- Checkboxes: Supported  
- Swatches: Not supported  
- Conditional logic: Not supported  
- Fonts: Not supported  
- Dates: Supported  
- Dimensions: Supported  
- Dropdowns: Supported  
- File upload: Not supported  
- Multi-select: Supported  
- Numbers: Not supported  
- Radio buttons: Supported  
- Custom text: Not supported  
- Gift wrap: Not supported  
- Custom CSS: Not supported  
- Custom HTML: Supported  
- Size charts: Not supported  
- Preview: Supported  
- Translation: Supported  
- Import and export: Supported

Variants display

Pricing  
- Pricing: Supported  
- Bulk pricing: Supported  
- Conditional pricing: Supported  
- Custom pricing: Supported  
- Dynamic pricing: Supported  
- Discount options: Supported  
- Add-ons: Supported  
- Variant upcharges: Supported  
- Setup charges: Supported  
- Tiered pricing: Supported  
- Premium upcharges: Supported

Inventory  
- Supported  
- Low stock alerts: Supported  
- Hide out-of-stock: Supported  
- SKU management: Supported  
- Stock availability: Supported  
- In-stock display: Supported  
- Manual updates: Supported  
- Auto-updates: Supported

Do more with Shopify tools  
Add variants to a product by creating a product with multiple options.  

Learn more about adding color swatches to product variants."
https://apps.shopify.com/built-in-features/order-tracking,"Order Tracking - Shopify

Keep customers in the loop with Shopify’s order tracking tools.

Overview:
- Easy setup and management within Shopify admin.
- Included with all Shopify plans, integrated into existing workflows.
- Branded tracking page enhances post-order experience with customizable status and package location map.
- Order status updates via email or the Shop app with customizable notifications.
- Secure tracking pages protect customer information with secure email links and login requirements.

Order Tracking Features:
- Tracking: Supported
- Branded tracking page: Supported
- Order lookup page: Supported
- Real-time tracking: Supported
- Custom tracking link: Supported
- Translation: Supported
- Estimated delivery date: Supported
- Global tracking: Supported
- Dashboards: Supported
- Order export: Supported
- Multi-carrier support: Supported
- API: Supported
- Analytics: Not supported

Notifications:
- Supported notification types: Email, real-time notifications, SMS
- Translation supported
- Custom notifications supported

Customization and Automation:
- Customize order status pages with brand-matching messages and design elements.
- Set up and customize notification emails, including links to order status pages.
- Utilize Shopify tools to automate and enhance order tracking management.

Additional Resources:
- Shopify Help Center
- API Documentation
- Shopify Community and Events
- Shopify Blog

App Categories Relevant to Order Tracking:
- Orders and shipping
- Sales channels
- Finding products
- Selling products
- Store design
- Marketing and conversion
- Store management

Languages Supported:
- Multiple languages including English, Spanish, French, German, Chinese, Japanese, Korean, Thai, Turkish, Portuguese, Italian, Dutch, Polish, Nordic languages, and Czech.

Access:
- Log in to Shopify store or sign up for a Shopify account to start using order tracking tools."
https://apps.shopify.com/built-in-features/automated-privacy,"Automated Privacy Settings - Simplify Compliance with Automated Privacy Settings - Shopify

How It Works  
- Automatically set up and managed in your Shopify admin.  
- Included with your Shopify plan, these automated privacy features are enabled by default and update automatically as your store and privacy regulations change.  
- Customized to match your store settings, including selling regions, installed apps, and more.  
- Translated into 32 languages supported by Shopify.  

What’s Included  
Cookie Consent Features  
- Shopify includes a suite of features to help comply with EU and US privacy regulations for cookie consent, data sale, and sharing support. Additional consent management and display options may be available through cookie consent apps.  

Cookie Consent Features Supported:  
- Display options  
- Policy link  
- Custom CSS  
- Preference selector  
- Geolocation  
- Banner design  
- Custom branding  
- Custom text  
- Multi-language  
- Language detection  
- Translation  
- A/B testing  
- Auto-blocking  
- Cookie scanner  
- Data management  
- Policy generator  

Features Not Supported:  
- Mobile responsive  
- Privacy compliance  
- Accessibility compliance  
- Consent logs  
- Consent expiration  
- Headless support  

Privacy Regulations Supported:  
- APA-NZPA  
- APPI  
- CCPA  
- CPRA  
- CTDPA  
- ePrivacy  
- FADP  
- GDPR  
- LGPD  
- PDPA  
- PIPEDA  
- POPIA  
- UCPA  
- VCDPA  

Additional Resources  
- Review your privacy settings and see the current status of your customer privacy settings in your Shopify admin.  
- Learn more about customer privacy and related app categories such as Sales Channels, Finding Products, Selling Products, Orders and Shipping, Store Design, Marketing and Conversion, and Store Management.  

Languages Supported  
- Čeština, Dansk, Deutsch, English, Español, Français, Italiano, Nederlands, Norsk (bokmål), Polski, Português (Brasil), Português (Portugal), Suomi, Svenska, Türkçe, ภาษาไทย, 日本語, 简体中文, 繁體中文, 한국어  

For access, log in to your Shopify store or sign up if you don’t have one yet."
https://apps.shopify.com/built-in-features/magic-blog-posts,"Shopify Magic for Blog Posts

Generate compelling blog content in seconds to increase store traffic.

How it works:
- Use directly in your Shopify admin.
- Your Shopify plan includes blogging tools with Shopify Magic features for generating English content; no additional apps required.
- Generate content from a few keywords: provide a brief description of the topic and receive a draft in seconds.
- Pick the tone to match your brand: select from predefined tones or set your own to reflect your unique brand personality.
- Easily edit or generate new versions: create as many versions as needed to get the right fit before publishing.

Blog Features Included in Shopify Plan:
- Templates: Supported
- Bulk creation: Supported
- Multi-language: Supported
- Shoppable links: Supported
- Images: Supported
- Embedded videos: Supported
- Table of contents: Supported
- Keyword optimization: Supported
- SEO analysis: Supported
- Custom branding: Supported

Blog Features Not Supported:
- Content creation (via apps)
- Drag-and-drop editor
- AI generation (via apps)
- Recommended topics
- Author bio
- Import and export
- Translation
- Embedded products
- Comments
- Auto-scheduling
- Meta tags
- Rich snippets
- Alt tags
- Article tags
- Permalinks
- Internal linking
- URL optimization
- Scoring tool
- XML sitemap
- Display options
- Layouts
- Search bar
- Featured posts
- Related posts
- Pinned posts
- Filtering

Additional Tools:
- Translate your blog content using Shopify’s Translate & Adapt app to reach additional languages.

Shopify App Categories:
- Sales channels
- Finding products
- Selling products
- Orders and shipping
- Store design
- Marketing and conversion
- Store management

Top App Categories:
- Dropshipping
- Marketplaces
- Product reviews
- Upsell and bundles
- Email marketing
- SEO
- Shipping
- Currency and translation

Resources:
- Shopify Help Center
- API documentation
- Shopify Community and Events
- Shopify Blog

Legal and Support:
- Terms of service
- Privacy policy
- Service status
- Developer login"
https://apps.shopify.com/built-in-features/shopify-payments,"Shopify Payments - Accept credit cards and other popular payment methods

Shopify Payments is included with Shopify and allows you to accept credit cards and a variety of popular payment methods.

Features:
- Boost conversions with a seamless, fast, and secure checkout process to reduce cart abandonment.
- Manage all transactions in one place for simplified financial operations.
- Built-in fraud protection tools to minimize risks and secure your business transactions.
- Accept multiple currencies and payment methods to cater to international customers.

Setup and Usage:
- Set up Shopify Payments in your admin dashboard.
- Create a test order to verify your setup.
- Enable test mode to simulate transactions.
- Turn on fraud prevention by declining orders that fail CVV and AVS postal code verification.

Shopify App Categories:
- Sales channels
- Finding products
- Selling products
- Orders and shipping
- Store design
- Marketing and conversion
- Store management

Popular App Categories:
- Dropshipping
- Marketplaces
- Product reviews
- Upsell and bundles
- Email marketing
- SEO
- Shipping
- Currency and translation

Resources:
- Shopify Help Center
- API documentation
- Shopify Community and Community Events
- Shopify Blog

Company Information:
- About Shopify
- Careers
- Investors
- Press and media
- Partners and affiliates
- Legal: Terms of service, Privacy policy
- Service status
- Developer login

Languages Supported:
- Čeština, Dansk, Deutsch, English, Español, Français, Italian, Nederlands, Norsk (bokmål), Polski, Português (Brasil), Português (Portugal), Suomi, Svenska, Türkçe, ภาษาไทย, 日本語, 简体中文, 繁體中文, 한국어

User Actions:
- Log in to your Shopify store with your Store URL.
- If you don’t have a store yet, sign up to create one.
- Developer login available for app development and management."
https://apps.shopify.com/built-in-features/shopify-shipping,"Shopify Shipping - Unlock savings and streamline your shipping process, no apps required

Shopify Shipping is included with your Shopify plan and integrates seamlessly into your existing workflows through the Shopify admin.

Key Features:
- Easy setup and management directly in Shopify admin.
- Automated order routing and packaging suggestions to simplify fulfillment.
- Built-in address validation to reduce failed deliveries and ensure accurate shipping.

Shipping Features Included:
- Label creation, customization, and bulk printing
- Address validation
- Packing slips and customs documents
- Return labels
- Pick lists
- Shipping insurance
- Shipping rules and delivery date options
- Order synchronization
- Multi-language support
- Carrier selection and shipping rates management
- Branded tracking page and email notifications
- Order updates and shipping analytics

Features Not Supported:
- Packaging customization
- Barcode scanning
- Real-time tracking
- Carrier-based rate calculation
- Dimension-based, product-based, weight-based, ZIP/post code-based rates
- Customization of shipping rates and notifications for PO Box, tracking pages, delivery date, address validation

Shipping Rate Features:
- Supported: Rate calculation, flat fee, customer-based, distance-based, quantity-based, rate blending, multi-zone, delivery time, scheduling, order limits, rename options, hide rates, reorder rates, geolocation, multi-language, multi-currency, custom notifications.
- Not supported: Carrier-based rates, dimension-based rates, product-based rates, weight-based rates, ZIP/post code-based rates, customization options for shipping rates.

Additional Tools:
- Shipping calculator for discounted shipping costs
- Access to top carriers with great shipping rates

Shopify Shipping simplifies and optimizes shipping for merchants without requiring additional apps, helping save costs and streamline the fulfillment process."
https://apps.shopify.com/built-in-features/metafields-and-metaobjects,"Metafields and Metaobjects - Add Custom Data to Showcase or Store Information, from Individual Fields to Complex Objects

Included with Shopify:
- Add custom data to showcase or store information, ranging from individual fields to complex objects.

Features:
- Improve discoverability with keywords in metafields to help site visitors and search engines find your products and collections more easily.
- Use predefined product attributes for easy setup.
- Display specialized information on product pages to help customers choose the right products.
- Streamline and extend store management tasks by adding custom data for smart collections, better customer segmentation, and enhanced reporting.

Metafield Features:
- Your Shopify plan includes everything needed to create and manage custom data.
- Metafield apps offer additional data types and management tools.

Supported Metafield Types:
- Collections
- Customers
- Orders
- Pages
- Products
- Blogs
- Variants
- Standard
- Metaobjects
- Booleans
- Colors
- Dates
- Dimensions
- Files
- Images
- JSON
- Text
- Numbers
- Ratings
- References
- URLs

Management Tools:
- Bulk import and export: Not supported
- Data sync: Supported
- SKU mapping: Supported
- Metafields editor: Supported
- Multi-language: Not supported
- Versioning: Not supported

Metaobjects:
- Groups of fields that let you create custom data types such as Authors or Influencers, or store back-office data like product schematics.
- Help streamline content creation.

Additional Resources:
- Create metafields
- Create metaobjects

Shopify App Categories:
- Sales Channels
- Finding Products
- Selling Products
- Orders and Shipping
- Store Design
- Marketing and Conversion
- Store Management

Top Categories:
- Dropshipping
- Marketplaces
- Product Reviews
- Upsell and Bundles
- Email Marketing
- SEO
- Shipping
- Currency and Translation

Support and Resources:
- Shopify Help Center
- API Documentation
- Shopify Community
- Community Events
- Shopify Blog

Company:
- About
- Careers
- Investors
- Press and Media
- Partners
- Affiliates

Legal and Technical:
- Terms of Service
- Privacy Policy
- Service Status
- Developer Login

Languages Available:
- Čeština, Dansk, Deutsch, English, Español, Français, Italian, Nederlands, Norsk (bokmål), Polski, Português (Brasil), Português (Portugal), Suomi, Svenska, Türkçe, ภาษาไทย, 日本語, 简体中文, 繁體中文, 한국어"
https://apps.shopify.com/built-in-features/gift-cards,"Gift Cards - Create, Sell, and Deliver Gift Cards to Boost Your Sales

Included with Shopify  
Create, sell, and deliver gift cards to boost your sales.

Setup and Management  
- Set up and sell gift cards on your online store directly from your Shopify admin without the need for additional apps.

Flexible Redemption to Build Customer Loyalty  
- Redeemable online or in-store.  
- Can be used across multiple orders.  
- Can be combined with discounts.

Customizable for Your Brand  
- Set up gift card pages and notifications to match your brand.  
- Include personalized messages and other custom fields.

Track Performance for Better Decision Making  
- Monitor gift card sales data, including payments and outstanding balances, through gift card reports.

Gift Card Features  
Shopify provides everything needed to create, sell, and manage gift cards from day one. Advanced features are available through gift card apps.

Card Types Supported  
- Branded: Not supported  
- Bulk: Supported  
- Digital: Supported  
- Physical: Not supported  
- Reloadable: Not supported  
- Store credit: Supported

Customization  
- Custom amounts: Supported  
- Custom design: Supported  
- Custom email: Supported  
- Redemption page: Supported  
- Balance page: Supported  
- Gift messages: Supported  
- Expiry date: Not supported  
- Reminders: Not supported  
- Gift card import: Supported

Delivery Options  
- Bulk send: Supported  
- Custom date: Supported  
- Email: Supported  
- Scheduled delivery: Supported  
- SMS: Supported  
- In-person: Supported

Additional Features  
- Offer gift card products that your customers can send as gifts.  
- Customize your gift card page.  

Resources  
- Shopify Help Center  
- API Documentation  
- Shopify Community  
- Shopify Blog  

Languages Available  
- Čeština, Dansk, Deutsch, English, Español, Français, Italian, Nederlands, Norsk (bokmål), Polski, Português (Brasil), Português (Portugal), Suomi, Svenska, Türkçe, ภาษาไทย, 日本語, 简体中文, 繁體中文, 한국어

Shopify Store Access  
- Log in to your Shopify store with your Store URL.  
- Don’t have a store yet? Sign up to create one."
